PLAYER,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI
Gorgui Dieng,Min,C,25,54,28.7,59.6,15.4,0.159,178,0.781,377,0.499,5,0.2,0.563,9.6,8.5,16.9,2.1,11.5,0.91,1.7,7.7
Spencer Dinwiddie,Det,PG,21,17,10.7,21.9,17.7,0.151,11,0.909,32,0.469,25,0.16,0.42,3.1,1,5,2.4,33.5,0.47,0.18,7.3
Joey Dorsey,Hou,PF,31,44,11.5,23.7,11.2,0.207,44,0.295,84,0.5,0,0,0.469,2.2,3.8,18.6,0.3,4.4,0.61,0.43,4.7
Toney Douglas,Nor,PG,28,3,21.7,42.3,21.8,0.159,10,0.6,15,0.4,7,0.429,0.511,9,2.3,6.1,4,28.4,1.33,0.67,8
Chris Douglas-Roberts,Lac,SG,28,12,8.3,18.7,10.9,0,8,1,14,0.286,7,0.143,0.387,1.6,1,6.7,0.3,5.1,0.08,0,3.8
Goran Dragic,Pho,SG,28,52,33.2,68.3,21.6,0.134,130,0.746,493,0.556,186,0.355,0.573,16.2,3.6,5.9,4.1,19.7,0.96,0.17,7.5
Larry Drew,Phi,PG,24,12,18,36.9,17.1,0.296,3,0.667,32,0.5,26,0.154,0.388,3.8,1.3,3.8,3.8,35.2,0.5,0,5.9
Andre Drummond,Det,C,21,55,29.6,61.2,21.5,0.104,232,0.401,607,0.498,1,0,0.491,12.7,13,23.7,0.6,3.3,1,1.73,6.3
Jared Dudley,Mil,SG,29,54,23.8,49.1,13.9,0.091,57,0.702,184,0.56,150,0.44,0.618,8.2,3,7.3,1.7,11,0.89,0.17,5.8
Tim Duncan,San,PF,38,50,29.6,61.8,23.4,0.125,216,0.727,577,0.496,3,0.333,0.542,14.6,9.8,18.3,2.9,16.6,0.96,1.86,10.1
Mike Dunleavy,Chi,SF,34,36,28.8,58.8,13.4,0.09,47,0.766,110,0.473,153,0.405,0.575,9.1,3.6,6.8,1.7,9,0.44,0.39,5.3
Kevin Durant,Okc,SF,26,27,33.6,71.6,29.3,0.12,171,0.854,308,0.565,159,0.403,0.633,25.4,6.6,10.4,4.1,22.8,0.89,0.93,10.5
Cleanthony Early,Nyk,SF,23,19,13.4,27.6,18.2,0.129,10,0.5,48,0.333,35,0.343,0.418,3.8,1.7,7.3,0.7,8.1,0.53,0.21,4.9
Wayne Ellington,Lal,SG,27,45,22.7,46.5,18,0.065,44,0.818,218,0.491,151,0.371,0.538,9.3,3.1,7.4,1.3,9.4,0.49,0.04,5.9
Monta Ellis,Dal,SG,29,57,33.5,70.2,27.9,0.119,217,0.77,755,0.485,213,0.324,0.52,19.4,2.4,3.8,4.5,21.9,1.96,0.28,7.1
James Ennis,Mia,SF,24,44,14.6,30.4,14.3,0.12,50,0.86,96,0.458,51,0.294,0.521,4,2.4,10,0.6,6.7,0.48,0.27,4.9
Tyler Ennis,Pho,PG,20,8,7.1,13.8,23,0.268,2,1,15,0.467,6,0.333,0.503,2.8,0.9,6.8,1.8,37.1,0,0.25,9.3
Reggie Evans,Sac,PF,34,30,17.6,35.9,13.3,0.177,70,0.6,97,0.433,2,0,0.485,4.2,6.8,22,0.7,5.7,0.4,0.13,6.2
Tyreke Evans,Nor,SF,25,53,34.3,71.2,26.3,0.148,203,0.69,660,0.467,151,0.291,0.493,16.8,5.5,9.1,6.2,30.3,1.19,0.42,9.7
Dante Exum,Uta,PG,19,54,20.5,42.6,14.1,0.182,29,0.621,102,0.422,163,0.307,0.457,4.7,1.5,4.4,2.3,16.9,0.48,0.13,4.9
Festus Ezeli,Gol,C,25,23,11,22.6,18.3,0.225,33,0.576,68,0.544,0,0,0.563,4,3,14.6,0.2,2.8,0.17,0.83,4.9
Kenneth Faried,Den,PF,25,50,27.2,56.1,19.8,0.126,171,0.678,461,0.503,4,0.25,0.54,11.7,8.7,17.2,1.2,7.6,0.68,0.64,7.3
Jordan Farmar,Lac,PG,28,36,14.5,31,16.6,0.164,11,0.909,61,0.426,97,0.361,0.513,4.6,1.2,4.6,1.9,17.9,0.56,0.14,6
Derrick Favors,Uta,PF,23,50,30.8,64.2,23.2,0.098,215,0.656,607,0.539,1,0,0.566,15.9,8.2,15.5,1.5,9.2,0.74,1.64,7.5
Raymond Felton,Dal,PG,30,13,7.2,15.5,20.1,0.094,4,1,29,0.345,8,0.25,0.387,2.3,0.5,3.4,1.5,28.5,0.31,0.08,6.7
Landry Fields,Tor,SF,26,18,10.7,21.6,10.8,0.172,6,0.833,34,0.5,2,0.5,0.543,2.3,1.2,6.5,0.7,9.6,0.61,0,4.7
Evan Fournier,Orl,SG,22,54,29,60.2,20.1,0.109,139,0.719,340,0.474,210,0.376,0.539,12.2,2.7,5.3,2.1,11.6,0.74,0.04,5.7
Randy Foye,Den,SG,31,25,16,32.8,19.2,0.136,27,0.815,53,0.321,88,0.307,0.448,5.5,1,3.2,1.6,15.1,0.4,0.24,5.2
Tim Frazier,Phi,PG,24,4,34.7,68.7,18.2,0.296,10,0.3,28,0.286,8,0.375,0.347,7,4.3,6.7,8.3,39.3,1,0,7.3
Jimmer Fredette,Nor,PG,25,39,10.8,22.5,19.7,0.12,36,0.944,103,0.466,43,0.186,0.476,3.9,0.8,4.3,1.3,17.8,0.31,0.05,5.9
Joel Freeland,Por,C,27,31,13.4,27.3,13.6,0.166,19,0.842,97,0.474,0,0,0.513,3.5,4.5,18,0.4,4.7,0.16,0.48,5.5
Channing Frye,Orl,PF,31,56,27.2,56.5,13.6,0.139,21,0.857,105,0.39,276,0.388,0.539,7.5,4.2,8.8,1.4,7.4,0.71,0.54,5.2
Danilo Gallinari,Den,SF,26,36,19.6,40.4,19.7,0.084,92,0.902,112,0.393,141,0.298,0.506,8.3,3,8.3,1.1,8.7,0.56,0.22,6.2
Langston Galloway,Nyk,PG,23,17,29.9,61.1,20.3,0.076,37,0.757,117,0.402,72,0.347,0.48,11.6,4.6,9,3.1,17.1,1,0.29,7.3
Francisco Garcia,Hou,SF,33,14,14.1,28.5,16.4,0.134,4,0.25,18,0.389,45,0.222,0.347,3.2,1.2,4.8,1.1,11.3,0.64,0.36,4.6
Kevin Garnett,Bro,PF,38,42,20.2,41.4,18.4,0.133,41,0.829,269,0.461,6,0.167,0.486,6.8,6.8,19,1.6,13.5,0.98,0.31,8.3
Marc Gasol,Mem,C,30,53,33.7,68.9,25,0.119,315,0.819,709,0.496,12,0.167,0.563,18.3,8,13.6,3.7,18.8,0.89,1.68,9.7
Pau Gasol,Chi,PF,34,52,34.8,71.5,24.1,0.113,251,0.813,743,0.491,13,0.462,0.549,18.3,12.1,19,2.9,15.2,0.37,2.12,9.9
Rudy Gay,Sac,SF,28,49,35.2,72.3,26.4,0.125,275,0.869,633,0.469,146,0.342,0.546,20.1,5.9,9.5,3.9,20.3,1.06,0.53,8.8
Alonzo Gee,Den,SF,27,39,12.9,26.6,16.5,0.131,65,0.738,113,0.496,24,0.417,0.574,4.9,1.8,7.5,0.5,5.9,0.72,0.15,5.1
Taj Gibson,Chi,PF,29,46,28.3,58.1,18.1,0.116,148,0.703,400,0.49,0,0,0.533,10.8,6.8,13.1,1.3,7.7,0.59,1.3,6.5
Manu Ginobili,San,SG,37,48,24.3,50.7,24.6,0.175,159,0.717,262,0.473,196,0.357,0.542,11.9,3,6.8,4.8,31.2,0.98,0.21,9.1
Rudy Gobert,Uta,C,22,54,21.7,45.3,13.5,0.171,134,0.612,225,0.636,2,0,0.643,6.8,7.3,19.6,1.1,7.9,0.67,2.2,7
Drew Gooden,Was,PF,33,27,12.6,25.6,18.7,0.136,17,0.706,88,0.432,25,0.32,0.465,4.1,3,13.7,0.6,7.6,0.3,0.22,6.2
Archie Goodwin,Pho,SG,20,15,7.7,15.4,25.6,0.089,31,0.774,39,0.385,9,0.333,0.511,4.2,1.3,9.6,0.7,14.3,0.27,0.13,8.1
Aaron Gordon,Orl,PF,19,23,15.5,32,16.5,0.179,38,0.658,71,0.549,18,0.5,0.615,5.7,3.2,11.7,0.6,5.7,0.26,0.48,5.7
Ben Gordon,Orl,SG,31,48,14.5,30,21.4,0.133,58,0.862,174,0.466,81,0.37,0.538,6.3,1.1,4.4,0.9,10.1,0.29,0.02,5.1
Drew Gordon,Phi,C,24,9,7.7,15.6,17.7,0.287,2,0.5,16,0.5,3,0,0.428,1.9,2,14.2,0.2,5.1,0.11,0,4.7
Eric Gordon,Nor,SG,26,33,32.4,67.1,19,0.151,57,0.825,213,0.404,143,0.455,0.543,12.5,2.8,4.9,3.8,18.2,0.88,0.21,6.3
Marcin Gortat,Was,C,30,55,29,59.7,18.2,0.125,132,0.705,498,0.542,3,0,0.566,11.5,8.1,16,1,5.7,0.51,1.33,6.3
Danny Granger,Mia,SF,31,30,20.3,42.2,15.9,0.119,37,0.757,78,0.449,84,0.357,0.527,6.3,2.7,8.1,0.6,4.6,0.43,0.2,4.3
Jerami Grant,Phi,SF,20,39,18.7,38.8,16.4,0.139,108,0.62,121,0.38,66,0.379,0.499,6,3,8.8,0.9,8.2,0.56,1.03,5.4
Danny Green,San,SG,27,54,29.9,62.3,17.4,0.103,78,0.833,201,0.478,325,0.391,0.569,11.8,4.5,8.4,1.9,9.9,1.37,1.19,6.2
Draymond Green,Gol,SF,24,52,31.8,66,16.5,0.139,121,0.678,275,0.505,215,0.335,0.53,11.1,8.3,13.8,3.6,15.4,1.6,1.38,8.7
Erick Green,Den,PG,23,19,6.8,13.8,22.6,0.09,4,0.75,46,0.5,13,0.231,0.477,3.1,0.3,2.5,0.7,17.8,0.16,0,5.1
Gerald Green,Pho,SG,29,54,20.5,42.2,28.2,0.11,90,0.867,294,0.469,300,0.357,0.533,12.5,2.9,7.7,1.3,10.7,0.7,0.19,7
JaMychal Green,San,PF,24,4,6,12.8,16.8,0.222,0,0,5,0.8,2,0,0.571,2,1.5,13.8,0,0,0,0.5,0
JaMychal Green,Mem,PF,24,18,26.6,52.7,21,0.077,56,0.839,125,0.44,53,0.302,0.506,11.4,3.6,7.7,1.6,9.5,0.44,0.39,6.1
Jeff Green,Bos,SF,28,33,32.9,67.6,23.9,0.094,144,0.84,321,0.495,154,0.305,0.539,17.6,4.2,7.1,1.6,8.1,0.82,0.39,6
Jeff Green,Mem,SF,28,18,26.6,52.7,21,0.077,56,0.839,125,0.44,53,0.302,0.506,11.4,3.6,7.7,1.6,9.5,0.44,0.39,6.1
Willie Green,Orl,SG,33,36,16.4,34,17.7,0.127,23,0.783,124,0.419,65,0.323,0.465,5.1,1.4,4.9,1.3,12.5,0.44,0.11,5.1
Blake Griffin,Lac,PF,25,51,35.1,74.4,28.8,0.098,341,0.718,873,0.504,21,0.381,0.55,22.5,7.5,12.1,5.1,25.2,0.92,0.41,10.8
Jorge Gutierrez,Mil,PG,26,7,13.3,25.4,13.5,0.217,6,0.833,17,0.588,2,0,0.578,3.6,2.1,9.3,1.6,17.6,0.57,0,6.9
P.J. Hairston,Cha,SG,22,35,14.8,30.2,21,0.071,20,0.85,78,0.333,134,0.313,0.442,5.6,2,7.7,0.5,5.1,0.46,0.37,4.8
Justin Hamilton,Mia,C,24,24,11.9,24.7,12.8,0.105,7,0.857,46,0.457,19,0.316,0.485,2.8,2,10.4,0.5,6.8,0.33,0.21,4.7
Tyler Hansbrough,Tor,PF,29,48,12.9,26.4,10.4,0.105,79,0.646,86,0.488,7,0.143,0.54,2.9,3.3,14.6,0.3,2.7,0.38,0.21,4.4
Tim Hardaway,Nyk,SG,22,53,23.1,47.8,24,0.09,114,0.825,267,0.438,261,0.341,0.515,11.2,2,5.1,1.7,13.1,0.28,0.23,5.8
James Harden,Hou,SG,25,54,36.4,75.3,31.4,0.152,506,0.87,613,0.496,371,0.385,0.612,27.4,5.7,8.8,6.8,34.8,2,0.78,11.2
Maurice Harkless,Orl,SF,21,27,13.6,28.1,13.6,0.147,22,0.727,51,0.588,32,0.156,0.491,3.4,1.9,7.9,0.7,7.2,0.59,0.15,4.9
Devin Harris,Dal,PG,31,55,22.4,47.1,18,0.118,107,0.804,181,0.459,215,0.353,0.542,8.7,2,4.8,3.3,20.8,0.98,0.24,6.9
Gary Harris,Den,SG,20,27,11.8,24.2,18.3,0.134,25,0.72,52,0.308,53,0.226,0.371,3.2,1.2,5.4,0.7,8.3,0.85,0.15,4.7
Joe Harris,Cle,SG,23,39,10.1,21,12.9,0.142,11,0.727,26,0.462,66,0.394,0.568,2.8,0.8,4.4,0.6,8.2,0.18,0.03,4.4
Tobias Harris,Orl,SF,22,47,34.4,71.4,23.6,0.102,181,0.785,525,0.49,144,0.375,0.546,17.4,6.6,10.9,2,10.1,0.98,0.53,7.1
Udonis Haslem,Mia,PF,34,37,13,27.1,15.1,0.112,40,0.625,116,0.44,1,1,0.483,3.5,3.4,16.2,0.6,7.5,0.24,0.14,5.9
Spencer Hawes,Lac,PF,26,46,17.6,37.3,17.6,0.1,50,0.64,154,0.506,111,0.324,0.516,6.4,3.8,12,1.2,9.7,0.37,0.74,7
Chuck Hayes,Tor,C,31,20,8.9,18,10.8,0.186,9,0.556,31,0.516,0,0,0.529,1.9,1.6,10.3,0.7,10.4,0.4,0.15,5.8
Gordon Hayward,Uta,SF,24,54,34.9,72.8,25.8,0.138,312,0.804,540,0.493,238,0.391,0.58,19.7,5,8.3,4.3,21.9,1.43,0.43,8.6
Gerald Henderson,Cha,SG,27,50,27.2,55.8,20.4,0.102,128,0.875,408,0.461,79,0.304,0.515,11.2,3,6.2,2.5,16.2,0.54,0.32,6.4
Xavier Henry,Lal,SF,23,9,9.4,18.1,13.9,0.113,24,0.583,13,0.231,0,0,0.424,2.2,0.4,2.6,0.3,4.9,0.33,0,2.7
John Henson,Mil,C,24,39,17.7,36.3,18.7,0.183,65,0.708,203,0.586,1,1,0.617,7.4,4.3,13.8,1,9.1,0.36,1.92,7.2
Roy Hibbert,Ind,C,28,51,25.4,52.4,22.2,0.126,137,0.825,495,0.457,1,0,0.508,11.1,7.1,15.7,1.2,8.4,0.18,1.76,7.2
J.J. Hickson,Den,C,26,46,19.5,40.2,20.2,0.158,130,0.615,292,0.503,2,0,0.532,8.1,6.3,17.6,0.9,7.7,0.41,0.52,7.3
Nene Hilario,Was,PF,32,47,25.2,51.7,21.8,0.138,134,0.612,425,0.536,5,0.2,0.553,11.5,5.1,11.6,2,13.2,1.09,0.36,7.8
George Hill,Ind,PG,28,16,23.6,48,25.5,0.098,53,0.755,108,0.491,61,0.393,0.567,13.6,3.4,8,3.8,29.4,0.69,0.31,9.5
Jordan Hill,Lal,C,27,49,27.8,57.1,21.6,0.108,125,0.752,536,0.474,2,0,0.508,12.3,8.1,15.9,1.4,8.6,0.51,0.88,7.5
Solomon Hill,Ind,SF,23,55,30.6,63.2,16.1,0.135,145,0.814,302,0.434,152,0.316,0.506,9.5,4.1,7.5,2.3,11.6,0.98,0.22,5.8
Kirk Hinrich,Chi,SG,34,45,26.6,54.6,13.5,0.146,45,0.733,157,0.395,132,0.341,0.473,6.5,1.9,3.9,2.4,13.6,0.84,0.2,4.7
Jrue Holiday,Nor,PG,24,37,33.5,69.4,23,0.141,74,0.851,381,0.47,127,0.37,0.52,15.2,3.5,5.9,7.1,35,1.62,0.59,8.6
Justin Holiday,Gol,SG,25,33,10.6,21.9,19.4,0.109,23,0.739,67,0.478,62,0.323,0.507,4.3,1.2,6,0.8,10.8,0.67,0.18,6.1
Ryan Hollins,Sac,C,30,33,8.3,17,13.5,0.239,33,0.636,49,0.633,0,0,0.653,2.5,2.1,14.4,0.3,5.8,0.06,0.36,5.6
Rodney Hood,Uta,SG,22,25,17.7,36.9,17.1,0.115,37,0.703,57,0.351,73,0.301,0.451,5.3,2.4,8.1,1.2,10,0.4,0.24,5.6
Al Horford,Atl,C,28,53,30.5,63.2,22.4,0.088,106,0.774,643,0.551,28,0.321,0.569,15.4,7.6,14.1,3.3,19.4,0.74,1.32,9.6
Dwight Howard,Hou,C,29,32,32,65.8,23.2,0.179,222,0.527,349,0.576,2,0.5,0.582,16.3,11,19.2,1.4,7.8,0.66,1.38,7.9
Robbie Hummel,Min,SF,25,36,14.8,30.6,12.2,0.101,24,0.792,86,0.558,37,0.324,0.565,4.2,2.8,10.7,0.6,6.3,0.42,0.22,5.2
Kris Humphries,Was,PF,29,53,21.4,44.1,18.8,0.092,100,0.77,378,0.471,4,0,0.508,8.2,6.8,18.3,0.9,6.6,0.53,0.42,6.9
Serge Ibaka,Okc,PF,25,54,32.5,68.5,18.9,0.106,91,0.835,458,0.493,190,0.389,0.545,13.9,7.7,12.6,0.9,4.2,0.46,2.22,5.6
Andre Iguodala,Gol,SG,31,50,26.6,55.2,13,0.151,75,0.533,172,0.547,133,0.346,0.541,7.3,3.2,6.5,2.9,14.2,1.12,0.24,6.1
Ersan Ilyasova,Mil,PF,27,30,17.3,35.3,24,0.098,43,0.605,159,0.541,70,0.314,0.532,8.8,3.5,11.5,0.7,7.1,0.5,0.27,6.4
Joe Ingles,Uta,SF,27,51,20.2,42.1,11.5,0.201,29,0.724,78,0.526,116,0.31,0.51,4.1,2.2,6.4,2.5,18,0.92,0.14,5.6
Kyrie Irving,Cle,PG,22,53,37.4,77.7,25.5,0.11,245,0.845,615,0.491,277,0.412,0.577,21.8,3.3,5.1,5.4,25.2,1.49,0.3,7.8
Jarrett Jack,Bro,PG,31,52,30.4,62.5,22.1,0.177,145,0.862,465,0.492,96,0.25,0.524,12.6,3.4,6.3,5,28.2,1.13,0.21,7.9
Reggie Jackson,Okc,PG,24,50,27.8,58.5,22.3,0.127,115,0.861,418,0.49,158,0.278,0.511,12.8,4,7.7,4.2,24.9,0.84,0.1,8.6
Bernard James,Dal,C,29,2,14.8,37.9,17.4,0.086,6,0.833,8,0.5,0,0,0.611,6.5,2.5,9.1,0,0,0,2,0
LeBron James,Cle,SF,30,46,36.2,75.3,32.9,0.157,371,0.733,643,0.543,222,0.338,0.581,26,5.6,8.9,7.2,37.9,1.46,0.65,11.2
Al Jefferson,Cha,C,30,43,31.1,63.7,26.6,0.055,115,0.678,684,0.487,1,0,0.506,17.3,8.5,15.3,1.8,11.7,0.53,1.37,8.3
Cory Jefferson,Bro,PF,24,30,10,20.4,17.6,0.079,26,0.577,83,0.446,11,0.182,0.45,3.2,2.4,13.6,0.3,5.4,0.1,0.37,5.3
Richard Jefferson,Dal,SF,34,51,14.9,31.2,15,0.116,66,0.606,103,0.466,96,0.427,0.568,5.1,2.3,8.4,0.8,7.3,0.39,0.16,5.7
John Jenkins,Atl,SG,23,10,8,16.3,17.5,0.066,1,1,19,0.526,9,0.444,0.58,3.3,1,7.1,0.1,2,0.1,0,3.5
Brandon Jennings,Det,PG,25,41,28.4,58.7,26.4,0.129,143,0.839,332,0.428,211,0.36,0.522,15.4,2.5,4.8,6.6,40.9,1.07,0.1,8.9
Jonas Jerebko,Det,PF,27,46,15.1,31.2,15.3,0.108,36,0.861,122,0.516,76,0.368,0.564,5.2,3.1,11.1,0.9,9.4,0.59,0.24,6.5
Amir Johnson,Tor,PF,27,51,26.5,54.6,16.1,0.161,98,0.633,333,0.607,30,0.467,0.625,10,5.7,12.4,1.5,8.7,0.57,0.92,6.6
Chris Johnson,Phi,SF,24,9,20.7,42.1,17.1,0.124,8,0.75,21,0.429,39,0.256,0.425,6,2.9,7.6,0.3,2.8,1,0.56,3.4
Chris Johnson,Uta,SF,24,2,18.5,38.5,11.1,0,0,0,2,0.5,7,0.571,0.778,7,1.5,4.7,1.5,13.2,1.5,0,5.4
James Johnson,Tor,PF,27,45,20.1,41.2,16.3,0.147,58,0.69,222,0.671,32,0.219,0.642,8,4,11.6,1.5,11.8,0.69,1.07,7.2
Joe Johnson,Bro,SG,33,51,35.4,72.9,21.7,0.113,125,0.808,476,0.466,226,0.376,0.528,15.7,4.6,7.3,3.6,17.8,0.8,0.2,7.2
Nick Johnson,Hou,SG,22,18,10.1,20.5,17.2,0.167,18,0.778,36,0.361,16,0.313,0.459,3.1,1.3,7.4,0.3,5,0.33,0.11,4.2
Tyler Johnson,Mia,SG,22,9,18,37.5,17.2,0.103,14,0.714,33,0.424,13,0.615,0.594,6.9,2.3,8,1,9.6,0.89,0.33,5.6
Wesley Johnson,Lal,SF,27,50,28.8,59.2,15.4,0.09,75,0.813,252,0.437,171,0.363,0.512,9.3,3.7,7.1,1.7,8.9,0.76,0.62,5.4
